grade,param,est,ci_lower,ci_upper
10,i_mean,0.0220352358068136,0.000601595180195855,0.0440030222290527
10,s_mean,0.0146338848892608,0.00426838194567938,0.0233457356958139
10,i_var,0.32945463932699,,
10,s_var,0.0218195274356508,,
11,i_mean,0.00632080662727735,-0.0153637024172858,0.0284955155154639
11,s_mean,0.0280541645668511,0.0169022226116115,0.0389264667727941
11,i_var,0.425267052890364,,
11,s_var,0.0351616998730274,,
12,i_mean,0.038219273962539,0.0206459936095171,0.0572638666272869
12,s_mean,0.00576400210767406,-0.00201339293348137,0.0131947642166707
12,i_var,0.465891934900388,,
12,s_var,0.0156926434548532,,
